Sample	Population
SAR_23_390	Port
SAR_23_391	Port
SAR_23_392	Port
SAR_23_393	Port
SAR_23_394	Port
SAR_23_395	Port
SAR_23_396	Port
SAR_23_397	Port
SAR_23_398	Port
SAR_23_399	Port
SAR_23_400	Port
SAR_23_401	Port
SAR_23_402	Port
SAR_23_403	Port
SAR_23_404	Port
SAR_23_405	Port
SAR_23_406	Port
SAR_23_407	Port
SAR_23_408	Port
SAR_23_410	Port
SAR_23_411	Port
SAR_23_412	Port
SAR_23_413	Mejean
SAR_23_414	Mejean
SAR_23_415	Mejean
SAR_23_416	Mejean
SAR_23_417	Mejean
SAR_23_418	Mejean
SAR_23_419	Mejean
SAR_23_420	Mejean
SAR_23_421	Mejean
SAR_23_422	Mejean
SAR_23_423	Mejean
SAR_23_424	Mejean
SAR_23_425	Mejean
SAR_23_426	Mejean
SAR_23_427	Mejean
SAR_23_428	Mejean
SAR_23_429	Mejean
SAR_23_430	Mejean
SAR_23_431	Mejean
SAR_23_432	Mejean
SAR_23_433	Mejean
SAR_23_434	Mejean
SAR_23_435	Mejean
SAR_23_436	Mejean
SAR_23_437	Mourillon
SAR_23_438	Mourillon
SAR_23_439	Mourillon
SAR_23_440	Mourillon
SAR_23_441	Mourillon
SAR_23_442	Mourillon
SAR_23_443	Mourillon
SAR_23_444	Mourillon
SAR_23_445	Mourillon
SAR_23_446	Mourillon
SAR_23_447	Mourillon
SAR_23_448	Mourillon
SAR_23_449	Mourillon
SAR_23_450	Mourillon
SAR_23_451	Mourillon
SAR_23_452	Mourillon
SAR_23_453	Mourillon
SAR_23_454	Mourillon
SAR_23_455	Mourillon
SAR_23_456	Mourillon
SAR_23_457	Mourillon
SAR_23_458	Mourillon
SAR_23_459	Port
SAR_23_460	Port
SAR_23_461	Port
SAR_23_462	Port
SAR_23_463	Port
SAR_23_464	Port
SAR_23_465	Port
SAR_23_466	Port
SAR_23_467	Port
SAR_23_468	Port
SAR_23_469	Port
SAR_23_470	Port
SAR_23_471	Port
SAR_23_472	Port
SAR_23_473	Port
SAR_23_474	Port
SAR_23_475	Port
SAR_23_476	Port
SAR_23_477	Port
SAR_23_478	Port
SAR_23_479	Port
SAR_23_480	Port
SAR_23_481	Port
SAR_23_482	Port
SAR_23_483	Port
SAR_23_484	Port
SAR_23_485	Port
SAR_23_486	Port
SAR_23_487	Port
SAR_23_488	Port
SAR_23_489	Port
SAR_23_490	Port
SAR_23_498	Mourillon
SAR_23_499	Mourillon
SAR_23_500	Mourillon
SAR_23_501	Mourillon
SAR_23_502	Mourillon
SAR_23_503	Mourillon
SAR_23_504	Mourillon
SAR_23_505	Mourillon
SAR_23_506	Mourillon
SAR_23_507	Mourillon
SAR_23_508	Mourillon
SAR_23_509	Mourillon
SAR_23_512	Mourillon
SAR_23_513	Mourillon
SAR_23_514	Mourillon
SAR_23_515	Mourillon
SAR_23_516	Mourillon
SAR_23_517	Mourillon
SAR_23_518	Mourillon
SAR_23_519	Mourillon
SAR_23_520	Mourillon
SAR_23_521	Mourillon
SAR_23_522	Mourillon
SAR_23_523	Mourillon
SAR_23_530	Mejean
SAR_23_531	Mejean
SAR_23_532	Mejean
SAR_23_533	Mejean
SAR_23_534	Mejean
SAR_23_535	Mejean
SAR_23_536	Mejean
SAR_23_537	Mejean
SAR_23_538	Mejean
SAR_23_539	Mejean
SAR_23_542	Mejean
SAR_23_543	Mejean
SAR_23_544	Mejean
SAR_23_545	Mejean
SAR_23_546	Mejean
SAR_23_547	Mejean
SAR_23_548	Mejean
SAR_23_549	Mejean
SAR_23_550	Mejean
SAR_23_551	Mejean
SAR_23_552	Mejean
